Samples,Time,Feature,Prob
1000000,0,0,0.466505926000000
1000000,0,1,0.025910747000000
1000000,0,2,0.005064458000000
1000000,0,3,0.004595868000000
1000000,0,4,0.005166058000000
1000000,0,5,0.031049939000000
1000000,0,6,0.461707004000000
1000000,1,0,0.026711536000000
1000000,1,1,0.431177344000000
1000000,1,2,0.034915094000000
1000000,1,3,0.011309565000000
1000000,1,4,0.028498655000000
1000000,1,5,0.434851025000000
1000000,1,6,0.032536781000000
1000000,2,0,0.004876110000000
1000000,2,1,0.035472054000000
1000000,2,2,0.432768691000000
1000000,2,3,0.050793391000000
1000000,2,4,0.441275628000000
1000000,2,5,0.029635202000000
1000000,2,6,0.005178924000000
1000000,3,0,0.004296223000000
1000000,3,1,0.013427574000000
1000000,3,2,0.051358191000000
1000000,3,3,0.859920094000000
1000000,3,4,0.054618551000000
1000000,3,5,0.011551411000000
1000000,3,6,0.004827956000000
1000000,4,0,0.005949418000000
1000000,4,1,0.025558980000000
1000000,4,2,0.441244095000000
1000000,4,3,0.059489828000000
1000000,4,4,0.437277378000000
1000000,4,5,0.024274705000000
1000000,4,6,0.006205596000000
1000000,5,0,0.019765797000000
1000000,5,1,0.445467227000000
1000000,5,2,0.029994630000000
1000000,5,3,0.010857732000000
1000000,5,4,0.028274859000000
1000000,5,5,0.443812176000000
1000000,5,6,0.021827579000000
1000000,6,0,0.471894990000000
1000000,6,1,0.022986074000000
1000000,6,2,0.004654841000000
1000000,6,3,0.003033522000000
1000000,6,4,0.004888871000000
1000000,6,5,0.024825542000000
1000000,6,6,0.467716160000000
